# 青简基础词库，由 qingjian-dict-convert lexicon 生成。词	音节	词频
# 来源：通用规范汉字表（8105 字）；现代汉语常用词表（liuxilu 校对版）；THUOCL 领域词（MIT，清华大学自然语言处理实验室）；
# 读音：Unihan（Unicode License）+ LLM 标注多音字词；词频：青简自己的语料统计（中文维基 CC BY-SA 4.0、LCCC MIT）。
万象	wan xiang	716
万象城	wan xiang cheng	596
万象更新	wan xiang geng xin	29
万贯	wan guan	27
万载	wan zai	102
万达	wan da	443
万遍	wan bian	295
万里	wan li	1347
万里无云	wan li wu yun	7
万里长城	wan li chang cheng	41
万里长征	wan li chang zheng	1
万金油	wan jin you	51
万隆	wan long	218
万难	wan nan	25
万顷	wan qing	77
万马奔腾	wan ma ben teng	53
万马齐喑	wan ma qi yin	3
丈	zhang	1113
丈人	zhang ren	51
丈夫	zhang fu	5926
丈母娘	zhang mu niang	780
丈量	zhang liang	89
三	san	279705
三七	san qi	50
三三两两	san san liang liang	22
三下五除二	san xia wu chu er	9
三不管	san bu guan	35
三世	san shi	5213
三个代表	san ge dai biao	37
三丰	san feng	188
三义	san yi	156
三九	san jiu	302
三九天	san jiu tian	34
三乡	san xiang	105
三五成群	san wu cheng qun	23
三井	san jing	680
三亚市	san ya shi	320
三产	san chan	12
三亲六故	san qin liu gu	3
三代	san dai	1022
三令五申	san ling wu shen	8
三伏	san fu	40
三伏天	san fu tian	104
三位	san wei	2488
三位一体	san wei yi ti	205
三位数	san wei shu	473
三倍	san bei	905
三元	san yuan	383
三八妇女节	san ba fu nv jie	88
三八式	san ba shi	40
三公里	san gong li	183
三六九等	san liu jiu deng	73
三军	san jun	652
三农	san nong	49
三分	san fen	4703
三副	san fu	111
三包	san bao	232
三北	san bei	79
三区	san qu	311
三医院	san yi yuan	68
三十	san shi	9859
三十七	san shi qi	236
三十七年	san shi qi nian	624
三十万	san shi wan	352
三十三	san shi san	1127
三十九	san shi jiu	222
三十九年	san shi jiu nian	364
三十二	san shi er	1597
三十五	san shi wu	464
三十五名	san shi wu ming	127
三十五年	san shi wu nian	829
三十儿	san shi er	23
三十八	san shi ba	253
三十八年	san shi ba nian	732
三十六	san shi liu	604
三十六年	san shi liu nian	473
三十六计	san shi liu ji	57
三十几	san shi ji	195
三十四	san shi si	221
三十四名	san shi si ming	129
三十四年	san shi si nian	1354
三十岁	san shi sui	792
三十度	san shi du	430
三十斤	san shi jin	271
三十而立	san shi er li	86
三千	san qian	2566
三原色	san yuan se	16
三叉	san cha	155
三叉戟	san cha ji	195
三叠	san die	107
三叠纪	san die ji	219
三口	san kou	1258
三只手	san zhi shou	41
三合	san he	507
三合土	san he tu	22
三合板	san he ban	10
三围	san wei	1174
三国	san guo	4697
三圣	san sheng	288
三垒	san lei	210
三垒手	san lei shou	240
三城	san cheng	125
三堂	san tang	61
三堡	san bao	213
三夏	san xia	2
三大队	san da dui	50
三天两头	san tian liang tou	278
三天打鱼	san tian da yu	98
三头六臂	san tou liu bi	31
三好生	san hao sheng	6
三姑六婆	san gu liu po	87
三姨	san yi	165
三孔	san kong	73
三字经	san zi jing	105
三季	san ji	318
三宅	san zhai	403
三官	san guan	129
三宝	san bao	643
三寸	san cun	73
三尺	san chi	231
三层	san ceng	1902
三届	san jie	605
三岁	san sui	2365
三岔	san cha	51
三岔路口	san cha lu kou	18
三岛由纪夫	san dao you ji fu	61
三峡	san xia	905
三废	san fei	5
三弦	san xian	74
三得利	san de li	159
三心二意	san xin er yi	151
三思	san si	253
三思而后行	san si er hou xing	88
三思而行	san si er xing	9
三振	san zhen	914
三支队	san zhi dui	78
三教	san jiao	201
三教九流	san jiao jiu liu	19
三文鱼	san wen yu	1191
三斤	san jin	1691
三方	san fang	884
三明市	san ming shi	103
三明治	san ming zhi	898
三星	san xing	4807
三更	san geng	76
三更半夜	san geng ban ye	324
三月三	san yue san	269
三期	san qi	905
三桥	san qiao	195
三棱	san leng	102
三棱镜	san leng jing	7
三毛	san mao	824
三民	san min	648
三民主义	san min zhu yi	318
三氟	san fu	284
三氯	san lv	141
三氯化	san lv hua	208
三河市	san he shi	68
三浦	san pu	616
三清山	san qing shan	88
三灾八难	san zai ba nan	1
三点式	san dian shi	86
三点水	san dian shui	29
三环路	san huan lu	182
三班	san ban	414
三班倒	san ban dao	39
三生有幸	san sheng you xing	210
三甲	san jia	9098
